Ticker,Flag Price,Buy Price,Flag Time,Buy Time,Time Between Flag and Buy,Lowest RSI,TTM Strength,P/L ($),P/L (%)
AESI,22.79000091552734,22.79999923706055,270,270,0,26.37284727874605,0.005303611074175457,28.82015991210938,0.9649176669511517
ALB,127.6900024414062,127.7525024414062,75,74,-1,19.37166781177029,0.3049626650129049,1.782485961913608,0.06066369594911273
ALL,168.8350067138672,168.9700012207031,15,16,1,28.15810137010604,0.08301189967564052,-7.820114135742188,-0.272241646768021
ALL,167.3300018310547,167.4450073242188,110,109,-1,29.31109593188641,0.1856323787144265,-7.225051879882812,-0.2538164968603046
AMPX,1.259999990463257,1.269999980926514,55,56,1,26.31962309952243,0.003562418265002094,-23.61997747421265,-0.787400835704065
AOS,86.66000366210938,86.73999786376953,345,346,1,27.79488624755298,0.01734950746808865,-7.819854736328125,-0.2651553299554893
ARCO,10.92500019073486,10.9399995803833,45,46,1,23.42687428101678,0.02416590520313794,5.480125427246094,0.1828195478136492
ASAN,15.6850004196167,15.6899995803833,320,320,0,29.95027313342668,0.005534545694078352,17.19002914428711,0.5736147545881065
ASH,98.6500015258789,98.7699966430664,25,28,3,24.14114922064087,0.2487253488813142,-8.39996337890625,-0.2834856624615779
ATKR,156.6199951171875,157.0299987792969,10,9,-1,27.57302012345282,0.4065020860944499,7.0299072265625,0.2356206585134871
ATR,147.25,147.3899993896484,280,279,-1,26.11901862657633,0.01710201808385331,-7.39990234375,-0.2510313581109124
ATR,147.2700042724609,147.3200073242188,315,329,14,29.51310801668286,0.006904869079590148,-1.80023193359375,-0.06109937021764592
AXS,69.84500122070312,69.88500213623047,275,274,-1,22.37428410402806,0.05514184134347233,-3.150192260742188,-0.1073257141646908
AXTA,35.95199966430664,35.96500015258789,95,95,0,28.09635603073789,0.007112035751344503,-8.714962005615234,-0.2919492333959376
AXTA,35.76499938964844,35.79499816894531,170,169,-1,21.8796985161035,0.03285242216927703,-7.884784698486328,-0.2653929623281175
BA,176.5650024414062,176.6900024414062,85,97,12,22.00317812112651,0.08782581329345573,-7.1328125,-0.25230673784038
BAK,7.519999980926514,7.53000020980835,95,96,1,28.12154467608099,0.02050400086811621,11.93989372253418,0.3984028172019791
BALY,12.82999992370605,12.86999988555908,25,32,7,28.35825146737837,0.02240007230213685,-13.9798755645752,-0.4661963207140805
BBDC,9.75,9.774999618530273,285,284,-1,24.8079821174973,0.0006869973455154027,-7.649883270263672,-0.2557505831804039
BBDC,9.765000343322754,9.770000457763672,305,323,18,22.02153761954057,0.006286413669586391,-3.070070266723633,-0.102356483247545
BCSF,16.47999954223633,16.48500061035156,205,207,2,29.77139062475946,0.008955875805446004,-8.145013809204102,-0.2729758849125431
BDN,4.945000171661377,4.949999809265137,340,339,-1,29.14309994455482,0.002195234809603125,-9.089919090270996,-0.3030276174459599
BERY,59.58499908447266,59.63000106811523,335,345,10,24.45353019817769,0.03799196652003706,10.49995422363281,0.3521701839863707
BG,101.8399963378906,102.004997253418,200,204,4,23.04469565060739,0.06463411876133851,-8.264884948730469,-0.2793941869404777
BHLB,23.04999923706055,23.05999946594238,190,194,4,28.0144712679464,0.01457480362483418,-10.39999008178711,-0.3469207526401188
BHVN,37.91500091552734,37.94990158081055,175,178,3,28.10618901997185,0.01117723737444054,5.537811279296875,0.1847142522988008
BHVN,37.18000030517578,37.20000076293945,380,386,6,25.89813370681513,0.03259825842721153,-8.39996337890625,-0.2822568281797834
BIG,3.881700038909912,3.884999990463257,380,379,-1,20.82765441653214,0.004288199629102596,30.87997055053711,1.029600050224393
BKE,37.83000183105469,37.8849983215332,80,79,-1,28.34280464238853,0.02632421766008652,1.185253143310092,0.0396019665049729
BNED,0.1661999970674515,0.1701000034809113,190,195,5,28.15956700409042,9.536101349763224e-05,0.0,0.0
BORR,5.574999809265137,5.579999923706055,70,77,7,26.29786758985695,0.008206896441323303,51.01514339447067,1.702513769314042
BOWL,12.03750038146973,12.07499980926514,45,44,-1,22.48084585574341,0.01118401765823346,-22.32003784179688,-0.7453428903479864
